time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-15T20:54:59.132Z,60.1515,-152.8205,98.5,1.8,ml,,,,0.42,ak,ak0223eq051q,2022-03-15T21:18:33.780Z,"64 km WNW of Happy Valley, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-03-15T20:54:34.700Z,35.7851667,-117.6095,6.26,1.5,mh,14,74,0.03203,0.08,ci,ci39968759,2022-03-16T00:34:01.216Z,"19km W of Searles Valley, CA",earthquake,0.19,0.35,,0,reviewed,ci,ci
2022-03-15T20:50:33.410Z,44.6043333,-110.3118333,2.95,1.15,md,12,96,0.0778,0.17,uu,uu60485732,2022-03-15T21:29:22.720Z,"51 km SSW of Silver Gate, Montana",earthquake,0.39,1.64,0.218,8,reviewed,uu,uu
2022-03-15T20:48:10.190Z,44.6138333,-110.3205,5.59,1.67,md,9,123,0.0789,0.09,uu,uu60030074,2022-03-15T21:25:13.920Z,"50 km SE of Mammoth, Wyoming",earthquake,0.37,1.38,0.433,6,reviewed,uu,uu
2022-03-15T20:47:49.000Z,44.6076667,-110.3193333,5.02,1.35,md,10,94,0.0755,0.14,uu,uu60485727,2022-03-15T21:22:37.100Z,"50 km SE of Mammoth, Wyoming",earthquake,0.36,2.3,0.367,8,reviewed,uu,uu
2022-03-15T20:34:06.580Z,44.605,-110.3141667,2.16,1.11,md,11,95,0.07682,0.21,uu,uu60485722,2022-03-15T21:35:34.900Z,"51 km SE of Mammoth, Wyoming",earthquake,0.6,13.45,0.375,7,reviewed,uu,uu
2022-03-15T20:32:53.689Z,63.3968,-151.3346,0,1.6,ml,,,,0.73,ak,ak0223epvbpi,2022-03-15T20:43:07.180Z,"25 km SE of Denali National Park, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-03-15T20:30:14.820Z,44.6078333,-110.3163333,5.77,2.85,ml,22,94,0.07728,0.23,uu,uu60485717,2022-03-15T20:48:25.250Z,"51 km SE of Mammoth, Wyoming",earthquake,0.35,1.19,0.301,4,reviewed,uu,uu
2022-03-15T20:28:17.860Z,38.8266678,-122.7878342,0.79,0.56,md,12,81,0.01189,0.02,nc,nc73706181,2022-03-15T20:38:11.737Z,"6km W of Cobb, CA",earthquake,0.29,0.6,0.32,3,automatic,nc,nc
2022-03-15T20:22:58.490Z,33.2513333,-115.999,4.87,1.43,ml,44,96,0.03073,0.19,ci,ci39968743,2022-03-15T21:19:56.532Z,"7km SW of Salton City, CA",earthquake,0.2,0.39,0.137,38,reviewed,ci,ci
2022-03-15T20:13:19.440Z,38.8393326,-122.824501,1.58,0.86,md,17,67,0.008612,0.02,nc,nc73706176,2022-03-15T20:23:10.510Z,"9km WNW of Cobb, CA",earthquake,0.25,0.46,,1,automatic,nc,nc
2022-03-15T20:05:13.733Z,61.747,-149.2865,14.6,1.4,ml,,,,1.08,ak,ak0223eppga4,2022-03-15T20:11:19.559Z,"2 km W of Fishhook, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-03-15T19:55:07.713Z,62.195,-149.4459,21.5,1.4,ml,,,,0.73,ak,ak0223epeq0g,2022-03-15T20:07:30.998Z,"21 km E of Susitna North, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-03-15T19:53:46.790Z,38.8175011,-122.7990036,3.41,0.84,md,15,63,0.009949,0.01,nc,nc73706171,2022-03-15T20:03:11.388Z,"6km NW of The Geysers, CA",earthquake,0.41,0.8,,1,automatic,nc,nc
2022-03-15T19:49:40.044Z,13.9643,119.5862,10,4.5,mb,,113,8.919,0.6,us,us6000h4tw,2022-03-15T21:59:14.040Z,"50 km W of Cabra, Philippines",earthquake,10.7,1.9,0.072,59,reviewed,us,us
2022-03-15T19:37:48.463Z,61.3125,-151.3707,71.8,1.5,ml,,,,0.57,ak,ak0223epay9p,2022-03-15T19:45:55.375Z,"24 km NW of Beluga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-03-15T19:24:42.318Z,61.4174,-146.7716,23.2,1.7,ml,,,,0.94,ak,ak0223ep85hk,2022-03-15T19:42:32.228Z,"39 km NW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-03-15T19:23:59.620Z,38.8106651,-122.824501,2.22,0.85,md,9,82,0.004071,0.02,nc,nc73706166,2022-03-15T19:25:34.427Z,"7km WNW of The Geysers, CA",earthquake,0.51,1.33,,1,automatic,nc,nc
2022-03-15T19:22:15.770Z,33.8501667,-117.4863333,-0.53,1.4,ml,50,45,0.04743,0.2,ci,ci39968719,2022-03-15T20:55:05.507Z,"4km SE of Home Gardens, CA",quarry blast,0.29,31.61,0.13,32,reviewed,ci,ci
2022-03-15T19:20:06.690Z,38.7724991,-122.8818359,1.8,1.13,md,17,204,0.02787,0.05,nc,nc73706161,2022-03-15T20:34:13.585Z,"11km W of The Geysers, CA",earthquake,0.38,0.48,0.08,3,automatic,nc,nc
2022-03-15T19:17:35.690Z,38.803833,-122.7333298,2.47,1.26,md,8,115,0.02086,0.01,nc,nc73706156,2022-03-15T20:23:16.511Z,"2km SSW of Cobb, CA",earthquake,0.42,1,0.48,2,automatic,nc,nc
2022-03-15T19:17:13.399Z,62.1534,-150.5403,11.3,1.6,ml,,,,0.67,ak,ak0223ep6l8r,2022-03-15T19:32:15.009Z,"24 km SW of Trapper Creek, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-03-15T19:16:16.730Z,17.9663333333333,-66.8715,16.42,2.33,md,6,204,,0.09,pr,pr71340343,2022-03-15T19:39:16.110Z,"Puerto Rico region",earthquake,0.63,0.68,0.0804847886445712,5,reviewed,pr,pr
2022-03-15T19:15:40.350Z,39.4165,-110.3108333,-1.8,1.98,md,7,196,0.01341,0.14,uu,uu60485682,2022-03-15T20:35:17.700Z,"16 km SSE of Sunnyside, Utah",earthquake,0.74,0.6,0.159,7,reviewed,uu,uu
2022-03-15T19:07:56.758Z,61.7918,-150.7822,55.7,1.3,ml,,,,0.33,ak,ak0223ep4jff,2022-03-15T19:20:54.392Z,"31 km NNW of Susitna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-03-15T19:02:54.880Z,46.0163333,-112.4731667,-2,1.79,ml,17,106,0.057,0.12,mb,mb80540539,2022-03-15T20:02:40.640Z,"4 km ENE of Butte, Montana",quarry blast,0.4,31.61,0.229,12,reviewed,mb,mb
2022-03-15T19:00:32.840Z,32.7805,-116.8841667,-0.34,1.26,ml,32,81,0.06643,0.27,ci,ci39968703,2022-03-15T20:47:27.095Z,"6km ESE of Bostonia, CA",quarry blast,0.46,31.61,0.342,11,reviewed,ci,ci
2022-03-15T18:55:44.710Z,38.8165016,-122.7998352,3.3,0.56,md,19,43,0.009228,0.01,nc,nc73706151,2022-03-15T18:57:19.153Z,"6km NW of The Geysers, CA",earthquake,0.27,0.79,0.06,3,automatic,nc,nc
2022-03-15T18:55:13.580Z,38.8168335,-122.7994995,3.3,0.84,md,14,53,0.00944,0.01,nc,nc73706146,2022-03-15T19:10:10.077Z,"6km NW of The Geysers, CA",earthquake,0.32,1.07,,1,automatic,nc,nc
2022-03-15T18:50:29.280Z,38.7721672,-122.8818359,1.83,1.21,md,21,204,0.02783,0.05,nc,nc73706141,2022-03-15T19:50:12.314Z,"11km W of The Geysers, CA",earthquake,0.39,0.45,0.05,5,automatic,nc,nc
2022-03-15T18:47:13.030Z,37.2876667,-121.6711667,2.17,0.91,md,14,86,0.02867,0.06,nc,nc73706136,2022-03-15T21:08:13.798Z,"15km E of Seven Trees, CA",earthquake,0.21,0.43,0.08,14,reviewed,nc,nc
2022-03-15T18:42:57.799Z,36.3605,-96.986,6.64,0.93,ml,48,42,0.06118799283,0.26,ok,ok2022feut,2022-03-15T18:51:37.641Z,"7 km NNE of Morrison, Oklahoma",earthquake,,0.5,0.25,16,reviewed,ok,ok
2022-03-15T18:41:40.510Z,19.1988334655762,-155.395492553711,31.0100002288818,1.80999994,md,31,173,,0.129999995,hv,hv72951262,2022-03-15T18:44:49.940Z,"8 km E of Pāhala, Hawaii",earthquake,0.57,0.850000024,0.899999976,3,automatic,hv,hv
2022-03-15T18:41:11.100Z,38.8310013,-122.8116684,2.02,0.85,md,10,77,0.007697,0.02,nc,nc73706131,2022-03-15T18:55:11.498Z,"8km NW of The Geysers, CA",earthquake,0.38,1.14,,1,automatic,nc,nc
2022-03-15T18:40:41.230Z,38.7809982,-122.7225037,1.5,0.86,md,7,98,0.01134,0.01,nc,nc73706126,2022-03-15T18:52:09.960Z,"3km WNW of Anderson Springs, CA",earthquake,0.41,0.79,0.01,3,automatic,nc,nc
2022-03-15T18:39:00.847Z,37.1578,-117.2407,6.2,1.4,ml,23,91.29,0.144,0.1632,nn,nn00835383,2022-03-16T02:38:12.696Z,"50 km WNW of Beatty, Nevada",earthquake,,2.2,0.74,10,reviewed,nn,nn
2022-03-15T18:29:43.090Z,38.8160019,-122.8000031,3.5,1.21,md,27,56,0.008823,0.02,nc,nc73706121,2022-03-15T19:29:16.179Z,"6km NW of The Geysers, CA",earthquake,0.24,0.46,0.04,5,automatic,nc,nc
2022-03-15T18:28:56.940Z,38.8161659,-122.8000031,3.2,0.35,md,10,82,0.008972,0.01,nc,nc73706116,2022-03-15T18:30:34.261Z,"6km NW of The Geysers, CA",earthquake,0.43,1.27,,1,automatic,nc,nc
2022-03-15T18:28:39.650Z,38.815834,-122.7996674,3.42,1.56,md,31,32,0.008563,0.02,nc,nc73706111,2022-03-15T19:18:12.120Z,"6km NW of The Geysers, CA",earthquake,0.22,0.41,0.11,7,automatic,nc,nc
2022-03-15T18:28:28.990Z,38.8160019,-122.7998352,3.07,0.88,md,26,33,0.008769,0.03,nc,nc73706106,2022-03-15T18:45:10.925Z,"6km NW of The Geysers, CA",earthquake,0.24,0.47,0.32,4,automatic,nc,nc
2022-03-15T18:28:28.980Z,35.8241667,-117.6456667,7.52,0.73,ml,11,85,0.04003,0.09,ci,ci39968687,2022-03-15T20:40:53.047Z,"23km WNW of Searles Valley, CA",earthquake,0.25,0.52,0.155,5,reviewed,ci,ci
2022-03-15T18:27:43.120Z,38.8171654,-122.8003311,3.69,0.73,md,18,45,0.00983,0.02,nc,nc73706101,2022-03-15T18:38:10.886Z,"6km NW of The Geysers, CA",earthquake,0.32,0.84,0.24,3,automatic,nc,nc
